"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLICEUS","198601","24.244","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198602","22.141","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198603","22.456","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198604","22.297","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198605","21.539","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198606","19.828","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198607","18.352","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198608","18.645","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198609","18.062","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198610","18.548","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198611","19.445","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198612","21.502","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198613","247.059","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198701","21.026","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198702","19.355","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198703","19.294","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198704","21.088","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198705","20.364","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198706","18.77","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198707","20.661","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198708","20.964","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198709","20.326","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198710","21.28","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198711","22.25","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198712","24.504","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198713","249.882","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198801","22.991","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198802","22.498","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198803","23.258","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198804","21.138","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198805","21.645","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198806","20.84","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198807","21.506","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198808","21.067","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198809","21.207","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198810","22.913","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198811","22.584","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198812","23.02","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198813","264.667","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198901","22.596","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198902","21.836","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198903","22.801","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198904","21.667","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
